cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.000001	0.000001	0.999999	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	50	0.059998	0.033925	0.940002	0.033925	0.059997	0.033925	0.060000	4.000000	0.000000	0.015000	0.008481	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1
5	50	0.159994	0.052369	0.840006	0.052369	0.159991	0.052369	0.160000	4.625000	0.182981	0.043998	0.015428	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	4	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	5	4	5	-1	-1
6	50	0.299995	0.065461	0.700005	0.065461	0.299983	0.065462	0.300000	5.266667	0.206252	0.086664	0.021422	6	-1	6	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	4	-1	-1	4	-1	-1	-1	-1	6	-1	-1	-1	6	-1	-1	-1	-1	-1	6	-1	5	-1	-1	5	6	6	-1	-1	-1	-1	-1	-1	5	4	5	-1	-1
7	50	0.599978	0.069981	0.400022	0.069981	0.599965	0.069981	0.600000	6.133333	0.190180	0.159994	0.024705	6	-1	6	-1	7	-1	7	7	7	5	-1	-1	7	4	-1	-1	4	7	-1	-1	-1	6	7	7	-1	6	7	-1	-1	7	-1	6	-1	5	7	7	5	6	6	-1	-1	-1	-1	7	-1	5	4	5	7	7
8	50	0.759971	0.061007	0.240029	0.061007	0.759956	0.061008	0.760000	6.526316	0.195019	0.234990	0.026398	6	-1	6	-1	7	-1	7	7	7	5	8	8	7	4	-1	8	4	7	-1	8	8	6	7	7	-1	6	7	-1	-1	7	-1	6	-1	5	7	7	5	6	6	8	8	-1	8	7	-1	5	4	5	7	7
9	50	0.819968	0.054879	0.180032	0.054879	0.819952	0.054881	0.820000	6.707317	0.207317	0.299986	0.027537	6	9	6	9	7	-1	7	7	7	5	8	8	7	4	-1	8	4	7	-1	8	8	6	7	7	-1	6	7	-1	-1	7	-1	6	-1	5	7	7	5	6	6	8	8	9	8	7	-1	5	4	5	7	7
10	50	0.879965	0.046419	0.120035	0.046419	0.879949	0.046420	0.880000	6.931818	0.230813	0.357983	0.027712	6	9	6	9	7	-1	7	7	7	5	8	8	7	4	10	8	4	7	10	8	8	6	7	7	10	6	7	-1	-1	7	-1	6	-1	5	7	7	5	6	6	8	8	9	8	7	-1	5	4	5	7	7
20	50	0.999959	0.000003	0.000041	0.000003	0.999942	0.000000	1.000000	7.700000	0.393052	0.664964	0.019651	6	9	6	9	7	11	7	7	7	5	8	8	7	4	10	8	4	7	10	8	8	6	7	7	10	6	7	11	14	7	13	6	11	5	7	7	5	6	6	8	8	9	8	7	20	5	4	5	7	7
30	50	0.999959	0.000003	0.000041	0.000003	0.999942	0.000000	1.000000	7.700000	0.393052	0.776623	0.013101	6	9	6	9	7	11	7	7	7	5	8	8	7	4	10	8	4	7	10	8	8	6	7	7	10	6	7	11	14	7	13	6	11	5	7	7	5	6	6	8	8	9	8	7	20	5	4	5	7	7
40	50	0.999959	0.000003	0.000041	0.000003	0.999942	0.000000	1.000000	7.700000	0.393052	0.832453	0.009825	6	9	6	9	7	11	7	7	7	5	8	8	7	4	10	8	4	7	10	8	8	6	7	7	10	6	7	11	14	7	13	6	11	5	7	7	5	6	6	8	8	9	8	7	20	5	4	5	7	7
50	50	0.999959	0.000003	0.000041	0.000003	0.999942	0.000000	1.000000	7.700000	0.393052	0.865951	0.007860	6	9	6	9	7	11	7	7	7	5	8	8	7	4	10	8	4	7	10	8	8	6	7	7	10	6	7	11	14	7	13	6	11	5	7	7	5	6	6	8	8	9	8	7	20	5	4	5	7	7
