section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	40
local	posteriorMassOfLocalPeaks	0.3856659880
local	meanUphillFraction	0.4855980704
local	posteriorWeightedMeanUphillFraction	0.0706445215
local	meanBestNeighborLnLDifference	13.9276680668
local	posteriorWeightedMeanBestNeighborLnLDifference	0.5047639596
local	meanNeighborAbsLnLDifference	5.0568076728
local	posteriorWeightedMeanNeighborAbsLnLDifference	7.5295449812
basin	numPeaks	40
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	761179
basin	largestBasinMass	0.6711855436
basin	basinMassEntropy	0.6366648128
basin	effectiveNumBasins	1.8901662966
basin	mapTreeHash	1112143900177730164
basin	mapPeakHash	1112143900177730164
basin	mapPeakId	0
basin	mapBasinMass	0.6711855436
basin	posteriorMassOutsideMapBasin	0.3288144564
ascent	meanAscentLength	10.3718982252
ascent	posteriorWeightedMeanAscentLength	0.7771612117
ascent	meanAscentLengthCredible95	1.4210526316
ascent	posteriorWeightedMeanAscentLengthCredible95	0.6959881934
ascent	maxAscentLength	22
credible95	credible95NumTrees	19
credible95	credible95Mass	0.9522804974
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	19
credible95	credible95LargestComponentMass	0.9522804974
credible95	credible95MapComponentSize	19
credible95	credible95MapComponentMass	0.9522804974
barrier	basinGraphEdges	545
barrier	meanBasinGraphDegree	27.2500000000
barrier	mapBasinGraphDegree	39
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	4.4988020355
barrier	meanBarrier	36.9774113996
barrier	posteriorWeightedMeanBarrier	4.1558327086
barrier	maxBarrier	108.9341950449

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	1112143900177730164	0.2578256411	761179	0.6711855436
1	16191424585248929739	0.1276519248	663980	0.3284183754
2	6254347374194516194	0.0001312101	46801	0.0003107169
3	11255519786028419502	0.0000327154	11051	0.0000331448
4	6102475088595509628	0.0000241196	146590	0.0000506553
5	10268494607608216116	0.0000003541	36389	0.0000015008
6	9443765165143502165	0.0000000132	46892	0.0000000294
7	18326684677768512587	0.0000000095	68075	0.0000000333
8	6171433528656602192	0.0000000001	40524	0.0000000003
9	10843757336854554639	0.0000000001	264	0.0000000001
10	18252836019220672118	0.0000000001	25589	0.0000000001
11	3963222842358754461	0.0000000000	40089	0.0000000001
12	16990937458384057721	0.0000000000	6537	0.0000000000
13	12079397865226316756	0.0000000000	59369	0.0000000000
14	6757233194896791746	0.0000000000	7469	0.0000000000
15	15142786534678676314	0.0000000000	3913	0.0000000000
16	7149069964051399364	0.0000000000	3252	0.0000000000
17	17509837678050591061	0.0000000000	11282	0.0000000000
18	15799089575926884061	0.0000000000	3867	0.0000000000
19	6135415438869299767	0.0000000000	2888	0.0000000000
20	2197459155809300914	0.0000000000	4330	0.0000000000
21	1433639190970930429	0.0000000000	1336	0.0000000000
22	15536370891336765481	0.0000000000	4870	0.0000000000
23	14313779397652414134	0.0000000000	1410	0.0000000000
24	659306188541723	0.0000000000	1254	0.0000000000
25	1651605962663356740	0.0000000000	1467	0.0000000000
26	2962571463738271888	0.0000000000	561	0.0000000000
27	15730800231288691617	0.0000000000	449	0.0000000000
28	11223077814217674237	0.0000000000	9088	0.0000000000
29	16043310052193777828	0.0000000000	2382	0.0000000000
30	5571308555810940405	0.0000000000	5994	0.0000000000
31	2494840462825653075	0.0000000000	373	0.0000000000
32	10452955878208585174	0.0000000000	2470	0.0000000000
33	5073824159519772812	0.0000000000	931	0.0000000000
34	6158182650757970840	0.0000000000	1067	0.0000000000
35	10769668235712292168	0.0000000000	1027	0.0000000000
36	8953354272887878005	0.0000000000	33	0.0000000000
37	452214270933702656	0.0000000000	1454	0.0000000000
38	14800997528833384879	0.0000000000	311	0.0000000000
39	18381214835278648243	0.0000000000	218	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
14	1	6757233194896791746	16191424585248929739	6757233194896791746	12376906341141197968	-2123.2150878906	0.0000000000	0.4678646947	27.8634526640
0	13	1112143900177730164	12079397865226316756	6498251087913983195	10890731768274913310	-2123.3068847656	0.0000000000	28.6582258636	0.9581897080
14	5	6757233194896791746	10268494607608216116	2136761919350835563	6757233194896791746	-2123.5605468750	0.0000000000	0.8133236790	15.4136872324
8	5	6171433528656602192	10268494607608216116	9521830100394238739	10881115701735951334	-2123.7089843750	0.0000000000	7.0488177148	15.5621247324
8	14	6171433528656602192	6757233194896791746	6757233194896791746	10881115701735951334	-2123.7089843750	0.0000000000	7.0488177148	0.9617611790
5	15	10268494607608216116	15142786534678676314	14252276661309731667	15142786534678676314	-2123.8295898438	0.0000000000	15.6827302012	0.0000705230
15	1	15142786534678676314	16191424585248929739	4675724105126289417	15142786534678676314	-2123.8295898438	0.0000000000	0.0000705230	28.4779546171
0	8	1112143900177730164	6171433528656602192	4865357834544147248	10551616173041201446	-2123.8618164062	0.0000000000	29.2131575042	7.2016497460
13	1	12079397865226316756	16191424585248929739	7103089988746357510	9782005628077310107	-2124.2209472656	0.0000000000	1.8722522080	28.8693120390
0	10	1112143900177730164	18252836019220672118	6569692700296334705	8111984220017232030	-2124.6237792969	0.0000000000	29.9751203948	7.6951277975
1	10	16191424585248929739	18252836019220672118	6569692700296334705	8993407984430876321	-2124.9147949219	0.0000000000	29.5631596952	7.9861434225
6	10	9443765165143502165	18252836019220672118	4145640974818372722	15957027514716102410	-2125.4604492188	0.0000000000	14.0209092067	8.5317977194
11	6	3963222842358754461	9443765165143502165	105386729160674480	222798651565439357	-2126.4836425781	0.0000000000	8.4278461975	15.0441025661
0	14	1112143900177730164	6757233194896791746	9289957928192841345	16398215827691509425	-2127.3103027344	0.0000000000	32.6616438323	4.5630795384
6	7	9443765165143502165	18326684677768512587	5415433903717080512	10315567968079715232	-2128.1577148438	0.0000000000	16.7181748317	16.3967297475
4	5	6102475088595509628	10268494607608216116	4152678659297746089	7941206211773977170	-2128.2045898438	0.0000000000	24.2789166322	20.0577302012
16	1	7149069964051399364	16191424585248929739	125769104050146127	7149069964051399364	-2128.3767089844	0.0000000000	0.2010185520	33.0250737577
16	13	7149069964051399364	12079397865226316756	2384596586159445947	7149069964051399364	-2128.7006835938	0.0000000000	0.5249931613	6.3519885361
0	16	1112143900177730164	7149069964051399364	710613962767021865	3793299747544085316	-2129.0927734375	0.0000000000	34.4441145355	0.9170830051
8	2	6171433528656602192	6254347374194516194	100110703041034485	3051492040289382938	-2129.3383789062	0.0000000000	12.6782122460	27.1064813867
0	17	1112143900177730164	17509837678050591061	1624524309584420586	15345863760136202327	-2129.7016601562	0.0000000000	35.0530012542	0.8175552932
0	15	1112143900177730164	15142786534678676314	2618987031689147878	8242773713959757179	-2129.7326660156	0.0000000000	35.0840071136	5.9031466948
2	5	6254347374194516194	10268494607608216116	4826160029253221145	11347377337924261530	-2129.7434082031	0.0000000000	27.5115106836	21.5965485605
13	17	12079397865226316756	17509837678050591061	13943443288780679629	17509837678050591061	-2129.9072265625	0.0000000000	7.5585315049	1.0231216995
14	7	6757233194896791746	18326684677768512587	3775946792107038905	11145695994627977397	-2130.1828613281	0.0000000000	7.4356381322	18.4218762319
5	3	10268494607608216116	11255519786028419502	4325631966236043949	10155082427403313777	-2130.3310546875	0.0000000000	22.1841950449	26.7102017308
1	17	16191424585248929739	17509837678050591061	3405846058046964268	15479111061484242087	-2130.6499023438	0.0000000000	35.2982671171	1.7657974807
5	12	10268494607608216116	16990937458384057721	5614943351725713176	8886596351507331863	-2131.4040527344	0.0000000000	23.2571930918	11.4939625077
11	7	3963222842358754461	18326684677768512587	6438699754397332549	12672757748687618184	-2131.4365234375	0.0000000000	13.3807270569	19.6755383412
2	18	6254347374194516194	15799089575926884061	4830732434110453175	15799089575926884061	-2131.7739257812	0.0000000000	29.5420282617	0.7251907000
1	12	16191424585248929739	16990937458384057721	13201754063053090031	17316243158311992339	-2131.8271484375	0.0000000000	36.4755132108	11.9170582108
