section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	15
local	posteriorMassOfLocalPeaks	0.8520359120
local	meanUphillFraction	0.4999122218
local	posteriorWeightedMeanUphillFraction	0.0106345745
local	meanBestNeighborLnLDifference	38.2610433649
local	posteriorWeightedMeanBestNeighborLnLDifference	-1.2386206361
local	meanNeighborAbsLnLDifference	13.5777172564
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.3923789665
basin	numPeaks	15
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	923922
basin	largestBasinMass	0.9974139662
basin	basinMassEntropy	0.0179949579
basin	effectiveNumBasins	1.0181578427
basin	mapTreeHash	2870967922423119304
basin	mapPeakHash	2870967922423119304
basin	mapPeakId	0
basin	mapBasinMass	0.9974139662
basin	posteriorMassOutsideMapBasin	0.0025860338
ascent	meanAscentLength	10.8285936286
ascent	posteriorWeightedMeanAscentLength	0.1482736008
ascent	meanAscentLengthCredible95	0.5000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.1458854002
ascent	maxAscentLength	24
credible95	credible95NumTrees	2
credible95	credible95Mass	0.9963428870
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	2
credible95	credible95LargestComponentMass	0.9963428870
credible95	credible95MapComponentSize	2
credible95	credible95MapComponentMass	0.9963428870
barrier	basinGraphEdges	96
barrier	meanBasinGraphDegree	12.8000000000
barrier	mapBasinGraphDegree	14
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	8.5946784524
barrier	meanBarrier	69.3950734602
barrier	posteriorWeightedMeanBarrier	5.2440695419
barrier	maxBarrier	296.0308936324

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	2870967922423119304	0.8509910062	923922	0.9974139662
1	8503988867675560274	0.0010444460	561955	0.0025854319
2	792803319761188329	0.0000004596	280412	0.0000006017
3	10198584476546627274	0.0000000002	59549	0.0000000002
4	3829751152940691828	0.0000000000	37078	0.0000000000
5	5247846392087791657	0.0000000000	20930	0.0000000000
6	16393983788334470586	0.0000000000	57995	0.0000000000
7	15640370084378316098	0.0000000000	78480	0.0000000000
8	3900591401446325758	0.0000000000	1198	0.0000000000
9	17011690504967338450	0.0000000000	1561	0.0000000000
10	7095251626885902155	0.0000000000	2092	0.0000000000
11	14587690802677974397	0.0000000000	986	0.0000000000
12	13402267296112360766	0.0000000000	664	0.0000000000
13	14039454163682028397	0.0000000000	131	0.0000000000
14	193094558787805893	0.0000000000	72	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	9	2870967922423119304	17011690504967338450	14943451615223646572	17011690504967338450	-12403.7597656250	0.0000000000	91.9296393899	0.6858200880
4	5	3829751152940691828	5247846392087791657	291048465504553768	4295638621821516529	-12405.1777343750	0.0000000000	63.9347286001	57.0510117878
8	9	3900591401446325758	17011690504967338450	8869629904709615229	17422685263075898847	-12408.8925781250	0.0000000000	8.0089370321	5.8186325880
0	8	2870967922423119304	3900591401446325758	4577282242462683277	17422685263075898847	-12410.4199218750	0.0000000000	98.5897956399	9.5362807821
1	9	8503988867675560274	17011690504967338450	6129770312976534218	11563167036744851478	-12417.3349609375	0.0000000000	98.8019197327	14.2610154005
2	10	792803319761188329	7095251626885902155	7095251626885902155	16363873942785487417	-12424.9648437500	0.0000000000	98.7032697197	1.0172864543
8	1	3900591401446325758	8503988867675560274	4425618694114235713	15298983730686142220	-12426.3300781250	0.0000000000	25.4464370321	107.7970369202
11	6	14587690802677974397	16393983788334470586	3925728586659026960	14587690802677974397	-12426.3779296875	0.0000000000	0.3043758009	72.6737596468
4	8	3829751152940691828	3900591401446325758	10713100957992737266	15298983730686142220	-12427.0039062500	0.0000000000	85.7609004751	26.1202651571
8	10	3900591401446325758	7095251626885902155	13361230581445898175	18028174909774868106	-12431.0244140625	0.0000000000	30.1407729696	7.0768567668
0	10	2870967922423119304	7095251626885902155	14631964411896980965	18028174909774868106	-12432.8115234375	0.0000000000	120.9813972024	8.8639661418
5	6	5247846392087791657	16393983788334470586	2304983255999923693	12024140567656006650	-12433.4228515625	0.0000000000	85.2961289753	79.7186815218
1	11	8503988867675560274	14587690802677974397	10721111733177293111	18053192576377976559	-12436.4091796875	0.0000000000	117.8761384827	10.3356258009
4	9	3829751152940691828	17011690504967338450	9390875288350836960	16937372833776418246	-12437.5947265625	0.0000000000	96.3517207876	34.5207810255
11	7	14587690802677974397	15640370084378316098	7124061143152173053	17143517188077216029	-12440.5068359375	0.0000000000	14.4332820509	83.2297322723
12	7	13402267296112360766	15640370084378316098	13402267296112360766	15843991634727525170	-12443.1513671875	0.0000000000	2.2095979753	85.8742635223
10	12	7095251626885902155	13402267296112360766	14361841291574785316	17279439977027787161	-12443.4882812500	0.0000000000	19.5407239543	2.5465120378
12	6	13402267296112360766	16393983788334470586	13402267296112360766	16026684875225000804	-12446.2109375000	0.0000000000	5.2691682878	92.5067674593
4	3	3829751152940691828	10198584476546627274	532666093608915268	10277364755614115168	-12447.0410156250	0.0000000000	105.7980098501	112.9166358199
12	11	13402267296112360766	14587690802677974397	8634753899708841135	11946546413476384796	-12449.1933593750	0.0000000000	8.2515901628	23.1198054884
