cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
50	50	0.979468	0.019989	0.020532	0.019989	0.979263	0.019985	0.980000	5.979592	0.816231	0.881741	0.024068	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	-1	41	4
60	50	0.979468	0.019989	0.020532	0.019989	0.979263	0.019985	0.980000	5.979592	0.816231	0.897995	0.022655	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	-1	41	4
70	50	0.979468	0.019989	0.020532	0.019989	0.979263	0.019985	0.980000	5.979592	0.816231	0.909605	0.021793	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	-1	41	4
80	50	0.979468	0.019989	0.020532	0.019989	0.979263	0.019985	0.980000	5.979592	0.816231	0.918312	0.021237	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	-1	41	4
90	50	0.999467	0.000047	0.000533	0.000047	0.999248	0.000000	1.000000	7.580000	1.789103	0.925973	0.019892	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	86	41	4
100	50	0.999482	0.000048	0.000518	0.000048	0.999248	0.000000	1.000000	7.580000	1.789103	0.932901	0.017891	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	86	41	4
200	50	0.999540	0.000051	0.000460	0.000051	0.999248	0.000000	1.000000	7.580000	1.789103	0.965675	0.008935	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	86	41	4
300	50	0.999569	0.000051	0.000431	0.000051	0.999248	0.000000	1.000000	7.580000	1.789103	0.976667	0.005949	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	86	41	4
400	50	0.999613	0.000052	0.000387	0.000052	0.999248	0.000000	1.000000	7.580000	1.789103	0.982112	0.004455	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	86	41	4
500	50	0.999613	0.000052	0.000387	0.000052	0.999248	0.000000	1.000000	7.580000	1.789103	0.985500	0.003563	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	86	41	4
