cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.005427	0.005121	0.994573	0.005121	0.005123	0.005123	0.000000	0.000000	0.000000	0.001809	0.001707	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	50	0.033369	0.016502	0.966631	0.016502	0.032651	0.016375	0.000000	0.000000	0.000000	0.009623	0.004644	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	50	0.048111	0.022028	0.951889	0.022028	0.047145	0.021881	0.000000	0.000000	0.000000	0.016145	0.007282	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	50	0.094628	0.027259	0.905372	0.027259	0.093281	0.027091	0.000000	0.000000	0.000000	0.025723	0.008531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	4	5	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	50	0.127585	0.029142	0.872415	0.029142	0.126058	0.029022	0.000000	0.000000	0.000000	0.036206	0.009956	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	4	5	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	50	0.153578	0.032580	0.846422	0.032580	0.151249	0.032552	0.000000	0.000000	0.000000	0.044599	0.011058	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	8	-1	-1	-1	-1	-1	4	5	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	50	0.209024	0.038102	0.790976	0.038102	0.206532	0.038069	0.000000	0.000000	0.000000	0.053533	0.011547	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	4	9	-1	-1	-1	-1	9	-1	-1	6	-1	-1	8	-1	-1	-1	-1	-1	4	5	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	50	0.272250	0.045358	0.727750	0.045358	0.269464	0.045380	0.000000	0.000000	0.000000	0.064847	0.012415	-1	-1	10	-1	-1	-1	9	10	-1	-1	7	-1	-1	-1	-1	10	10	4	9	-1	-1	-1	-1	9	-1	-1	6	10	-1	8	-1	-1	-1	-1	-1	4	5	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	50	0.516907	0.053975	0.483093	0.053975	0.512230	0.054126	0.020000	20.000000	0.000000	0.135157	0.016663	-1	17	10	14	-1	-1	9	10	-1	-1	7	-1	-1	14	12	10	10	4	9	15	-1	-1	-1	9	-1	-1	6	10	-1	8	-1	18	17	17	13	4	5	11	-1	6	-1	-1	-1	-1	-1	-1	-1	20	-1	-1
30	50	0.648654	0.055036	0.351346	0.055036	0.642647	0.055120	0.140000	26.428571	1.525297	0.172374	0.018093	-1	17	10	14	24	-1	9	10	-1	-1	7	22	-1	14	12	10	10	4	9	15	-1	-1	26	9	-1	23	6	10	-1	8	-1	18	17	17	13	4	5	11	-1	6	22	26	-1	-1	-1	-1	-1	20	30	23
40	50	0.759344	0.047783	0.240656	0.047783	0.752698	0.047761	0.220000	29.181818	1.577214	0.200641	0.017698	31	17	10	14	24	38	9	10	-1	-1	7	22	35	14	12	10	10	4	9	15	-1	-1	26	9	-1	23	6	10	-1	8	37	18	17	17	13	4	5	11	31	6	22	26	-1	-1	-1	-1	32	20	30	23
