section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	25
local	posteriorMassOfLocalPeaks	0.2397206916
local	meanUphillFraction	0.4927787909
local	posteriorWeightedMeanUphillFraction	0.1060475019
local	meanBestNeighborLnLDifference	12.1039046738
local	posteriorWeightedMeanBestNeighborLnLDifference	0.8037018601
local	meanNeighborAbsLnLDifference	4.5236518345
local	posteriorWeightedMeanNeighborAbsLnLDifference	6.8370761489
basin	numPeaks	25
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	1
basin	largestBasinSize	644096
basin	largestBasinMass	0.9507296600
basin	basinMassEntropy	0.1969134058
basin	effectiveNumBasins	1.2176385958
basin	mapTreeHash	13871337096678400226
basin	mapPeakHash	13871337096678400226
basin	mapPeakId	0
basin	mapBasinMass	0.9507296600
basin	posteriorMassOutsideMapBasin	0.0492703400
ascent	meanAscentLength	10.1424886225
ascent	posteriorWeightedMeanAscentLength	1.3308934142
ascent	meanAscentLengthCredible95	1.7916666667
ascent	posteriorWeightedMeanAscentLengthCredible95	1.2741459274
ascent	maxAscentLength	23
credible95	credible95NumTrees	24
credible95	credible95Mass	0.9533495217
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	21
credible95	credible95LargestComponentMass	0.9121104292
credible95	credible95MapComponentSize	21
credible95	credible95MapComponentMass	0.9121104292
barrier	basinGraphEdges	283
barrier	meanBasinGraphDegree	22.6400000000
barrier	mapBasinGraphDegree	24
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	5.9146324500
barrier	meanBarrier	25.6049053711
barrier	posteriorWeightedMeanBarrier	4.7897431757
barrier	maxBarrier	74.5243381660

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	13871337096678400226	0.2170049817	644096	0.9507296600
1	3145368506380147429	0.0226857340	369914	0.0492022011
2	4847690154216819309	0.0000251891	135074	0.0000595147
3	1794495616524050231	0.0000024088	262379	0.0000050004
4	10034525331251806011	0.0000016968	59487	0.0000020430
5	18053295813964894369	0.0000003491	132046	0.0000006703
6	6419012701990514701	0.0000003081	146151	0.0000008575
7	15741092437790820062	0.0000000154	45058	0.0000000273
8	4082691580623491599	0.0000000086	50919	0.0000000254
9	15536256549007645941	0.0000000001	17628	0.0000000001
10	165288350909462483	0.0000000000	11177	0.0000000000
11	10334602604355831122	0.0000000000	28559	0.0000000000
12	14021216200313225161	0.0000000000	18506	0.0000000000
13	3399799676176879235	0.0000000000	32174	0.0000000000
14	16631169613740335243	0.0000000000	19249	0.0000000000
15	1019447090273515639	0.0000000000	6555	0.0000000000
16	5406849495933628930	0.0000000000	6475	0.0000000000
17	4077820340331101249	0.0000000000	21935	0.0000000000
18	6387018444082811531	0.0000000000	9011	0.0000000000
19	10418242485808949898	0.0000000000	5107	0.0000000000
20	15749539636955644638	0.0000000000	1678	0.0000000000
21	6167178044607810403	0.0000000000	2019	0.0000000000
22	16544568066576985109	0.0000000000	621	0.0000000000
23	15256604489715936653	0.0000000000	454	0.0000000000
24	153035825777059933	0.0000000000	753	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	11	3145368506380147429	10334602604355831122	10334602604355831122	14537367726415689953	-2804.6723632812	0.0000000000	22.8856964572	0.5503422784
3	5	1794495616524050231	18053295813964894369	66299277771920934	3437488252909619919	-2804.6848144531	0.0000000000	13.7477676728	11.8162278082
6	9	6419012701990514701	15536256549007645941	1440663893602889578	8695979756246166448	-2804.9238281250	0.0000000000	11.9303254874	3.4805503689
3	9	1794495616524050231	15536256549007645941	1440663893602889578	17862033479013597588	-2805.4304199219	0.0000000000	14.4933731416	3.9871421658
0	12	13871337096678400226	14021216200313225161	6920017489226075066	13639369350990877539	-2805.5693359375	0.0000000000	26.0408531531	1.0012961187
10	11	165288350909462483	10334602604355831122	10429185980685152122	16408065854371556827	-2805.7373046875	0.0000000000	2.1127890980	1.6152836847
2	9	4847690154216819309	15536256549007645941	10353357766309395488	12837657386569199637	-2806.0068359375	0.0000000000	17.4170886740	4.5635581814
4	14	10034525331251806011	16631169613740335243	10887425456288662827	16631169613740335243	-2807.4243164062	0.0000000000	16.1368869941	0.1479859296
10	12	165288350909462483	14021216200313225161	15747968466250310115	17485086665662744425	-2807.6049804688	0.0000000000	3.9804648792	3.0369406499
8	11	4082691580623491599	10334602604355831122	7162765551877382592	18378618762507501438	-2807.9333496094	0.0000000000	11.3607884264	3.8113286065
8	2	4082691580623491599	4847690154216819309	1698994301177354636	14732023315034115146	-2807.9382324219	0.0000000000	11.3656712389	19.3484851584
9	7	15536256549007645941	15741092437790820062	3607879944037346117	6781968903857120007	-2808.0131835938	0.0000000000	6.5699058377	12.0247844737
10	0	165288350909462483	13871337096678400226	8401351053572158154	9209167501980046156	-2808.2006835938	0.0000000000	4.5761680042	28.6722008094
0	14	13871337096678400226	16631169613740335243	13263020049259725176	16631169613740335243	-2808.3544921875	0.0000000000	28.8260094031	1.0781617108
13	8	3399799676176879235	4082691580623491599	2942731541002256670	3399799676176879235	-2808.4365234375	0.0000000000	1.4718263337	11.8639622545
15	0	1019447090273515639	13871337096678400226	1019447090273515639	14691877190235855710	-2808.5993652344	0.0000000000	0.0896854959	29.0708824500
6	14	6419012701990514701	16631169613740335243	4352600492444782162	17267951028151507696	-2808.9763183594	0.0000000000	15.9828157218	1.6999878827
10	3	165288350909462483	1794495616524050231	8062552275702905573	17419226820690028074	-2809.0534667969	0.0000000000	5.4289512074	18.1164200166
4	12	10034525331251806011	14021216200313225161	294610476027373592	7071854500320143107	-2809.1342773438	0.0000000000	17.8468479316	4.5662375249
3	2	1794495616524050231	4847690154216819309	8016996377850974865	16483424526336566072	-2809.1892089844	0.0000000000	18.2521622041	20.5994617209
3	11	1794495616524050231	10334602604355831122	3933352990709567541	5058911603480440497	-2809.3249511719	0.0000000000	18.3879043916	5.2029301690
1	9	3145368506380147429	15536256549007645941	17704035311925253314	18231473791839417604	-2809.6823730469	0.0000000000	27.8957062228	8.2390952908
13	14	3399799676176879235	16631169613740335243	9208617290659819755	13989583350720111776	-2810.5026855469	0.0000000000	3.5379884431	3.2263550702
3	12	1794495616524050231	14021216200313225161	12671795754555814623	13941567914603838157	-2810.5327148438	0.0000000000	19.5956680635	5.9646750249
6	12	6419012701990514701	14021216200313225161	10452332807305565238	13941567914603838157	-2810.5327148438	0.0000000000	17.5392122062	5.9646750249
