cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.009233	0.009231	0.990767	0.009231	0.009231	0.009231	0.000000	0.000000	0.000000	0.004617	0.004616	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.028298	0.015998	0.971702	0.015998	0.028281	0.015998	0.000000	0.000000	0.000000	0.012510	0.007486	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
4	50	0.205702	0.035722	0.794298	0.035722	0.200312	0.036299	0.020000	4.000000	0.000000	0.058498	0.011217	4	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	4	-1	4	-1	4	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
5	50	0.374322	0.041202	0.625678	0.041202	0.365462	0.042292	0.100000	4.800000	0.200000	0.108310	0.013054	4	5	5	5	-1	-1	-1	4	-1	-1	-1	-1	-1	5	5	4	-1	-1	-1	5	-1	5	4	-1	4	5	4	5	-1	4	4	4	4	-1	-1	-1	-1	-1	-1	-1	5	5	5	5	3	-1	-1	-1	5	-1
6	50	0.547936	0.043288	0.452064	0.043288	0.537493	0.044300	0.280000	5.571429	0.172706	0.155437	0.013047	4	5	5	5	-1	6	-1	4	6	-1	-1	6	-1	5	5	4	6	6	-1	5	6	5	4	-1	4	5	4	5	-1	4	4	4	4	-1	-1	6	6	-1	6	-1	5	5	5	5	3	-1	6	-1	5	-1
7	50	0.660471	0.036948	0.339529	0.036948	0.650029	0.037718	0.400000	6.000000	0.191943	0.195248	0.012196	4	5	5	5	-1	6	-1	4	6	-1	-1	6	-1	5	5	4	6	6	-1	5	6	5	4	-1	4	5	4	5	7	4	4	4	4	7	-1	6	6	-1	6	-1	5	5	5	5	3	7	6	-1	5	-1
8	50	0.699849	0.038100	0.300151	0.038100	0.688128	0.038635	0.480000	6.333333	0.222524	0.225075	0.011370	4	5	5	5	-1	6	-1	4	6	-1	-1	6	-1	5	5	4	6	6	-1	5	6	5	4	-1	4	5	4	5	7	4	4	4	4	7	8	6	6	-1	6	-1	5	5	5	5	3	7	6	-1	5	8
9	50	0.739174	0.038164	0.260826	0.038164	0.726814	0.038697	0.560000	6.714286	0.261544	0.247449	0.011118	4	5	5	5	-1	6	-1	4	6	9	-1	6	-1	5	5	4	6	6	-1	5	6	5	4	-1	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	-1	5	8
10	50	0.786504	0.032328	0.213496	0.032328	0.774144	0.032560	0.620000	7.032258	0.295063	0.268844	0.010166	4	5	5	5	-1	6	-1	4	6	9	10	6	-1	5	5	4	6	6	10	5	6	5	4	-1	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	-1	5	8
20	50	0.933376	0.018125	0.066624	0.018125	0.914959	0.018180	0.920000	9.021739	0.521508	0.361672	0.006622	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	-1	5	8
30	50	0.971801	0.002371	0.028199	0.002371	0.952471	0.000000	1.000000	10.300000	0.784675	0.394085	0.005227	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
40	50	0.974631	0.002357	0.025369	0.002357	0.952471	0.000000	1.000000	10.300000	0.784675	0.410467	0.004127	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
50	50	0.979075	0.002149	0.020925	0.002149	0.952471	0.000000	1.000000	10.300000	0.784675	0.417813	0.003256	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
60	50	0.981235	0.002158	0.018765	0.002158	0.952471	0.000000	1.000000	10.300000	0.784675	0.423040	0.003237	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
70	50	0.982818	0.002019	0.017182	0.002019	0.952471	0.000000	1.000000	10.300000	0.784675	0.428499	0.002931	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
80	50	0.983427	0.001975	0.016573	0.001975	0.952471	0.000000	1.000000	10.300000	0.784675	0.433368	0.002658	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
90	50	0.984674	0.002023	0.015326	0.002023	0.952471	0.000000	1.000000	10.300000	0.784675	0.435836	0.002540	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
100	50	0.985922	0.001955	0.014078	0.001955	0.952471	0.000000	1.000000	10.300000	0.784675	0.438388	0.002329	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
200	50	0.995969	0.001143	0.004031	0.001143	0.952471	0.000000	1.000000	10.300000	0.784675	0.446212	0.001458	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
300	50	0.998136	0.000806	0.001864	0.000806	0.952471	0.000000	1.000000	10.300000	0.784675	0.448007	0.001330	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
400	50	0.999698	0.000012	0.000302	0.000012	0.952471	0.000000	1.000000	10.300000	0.784675	0.448660	0.001205	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
500	50	0.999704	0.000012	0.000296	0.000012	0.952471	0.000000	1.000000	10.300000	0.784675	0.449929	0.000992	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
600	50	0.999704	0.000012	0.000296	0.000012	0.952471	0.000000	1.000000	10.300000	0.784675	0.450838	0.000943	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
700	50	0.999708	0.000012	0.000292	0.000012	0.952471	0.000000	1.000000	10.300000	0.784675	0.451623	0.000869	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
800	50	0.999708	0.000012	0.000292	0.000012	0.952471	0.000000	1.000000	10.300000	0.784675	0.452159	0.000826	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
900	50	0.999708	0.000012	0.000292	0.000012	0.952471	0.000000	1.000000	10.300000	0.784675	0.452856	0.000752	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
1000	50	0.999714	0.000013	0.000286	0.000013	0.952471	0.000000	1.000000	10.300000	0.784675	0.453480	0.000708	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
2000	50	0.999750	0.000015	0.000250	0.000015	0.952471	0.000000	1.000000	10.300000	0.784675	0.454184	0.000424	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
3000	50	0.999774	0.000016	0.000226	0.000016	0.952471	0.000000	1.000000	10.300000	0.784675	0.454865	0.000320	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
4000	50	0.999792	0.000017	0.000208	0.000017	0.952471	0.000000	1.000000	10.300000	0.784675	0.455070	0.000315	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
5000	50	0.999810	0.000016	0.000190	0.000016	0.952471	0.000000	1.000000	10.300000	0.784675	0.455184	0.000278	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
6000	50	0.999831	0.000017	0.000169	0.000017	0.952471	0.000000	1.000000	10.300000	0.784675	0.455330	0.000273	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
7000	50	0.999846	0.000017	0.000154	0.000017	0.952471	0.000000	1.000000	10.300000	0.784675	0.455235	0.000256	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
8000	50	0.999860	0.000015	0.000140	0.000015	0.952471	0.000000	1.000000	10.300000	0.784675	0.455228	0.000232	4	5	5	5	13	6	12	4	6	9	10	6	12	5	5	4	6	6	10	5	6	5	4	12	4	5	4	5	7	4	4	4	4	7	8	6	6	9	6	9	5	5	5	5	3	7	6	24	5	8
