section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	29
local	posteriorMassOfLocalPeaks	0.8183942496
local	meanUphillFraction	0.4999606390
local	posteriorWeightedMeanUphillFraction	0.0137115076
local	meanBestNeighborLnLDifference	27.0141679007
local	posteriorWeightedMeanBestNeighborLnLDifference	-1.4684077575
local	meanNeighborAbsLnLDifference	9.9536124140
local	posteriorWeightedMeanNeighborAbsLnLDifference	13.9490587304
basin	numPeaks	29
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	503667
basin	largestBasinMass	0.9281666091
basin	basinMassEntropy	0.2661763637
basin	effectiveNumBasins	1.3049651869
basin	mapTreeHash	11980647480481983567
basin	mapPeakHash	11980647480481983567
basin	mapPeakId	0
basin	mapBasinMass	0.9281666091
basin	posteriorMassOutsideMapBasin	0.0718333909
ascent	meanAscentLength	10.4755738089
ascent	posteriorWeightedMeanAscentLength	0.2028590976
ascent	meanAscentLengthCredible95	0.5000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.1411916922
ascent	maxAscentLength	27
credible95	credible95NumTrees	4
credible95	credible95Mass	0.9516158643
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	3
credible95	credible95LargestComponentMass	0.9169490342
credible95	credible95MapComponentSize	3
credible95	credible95MapComponentMass	0.9169490342
barrier	basinGraphEdges	364
barrier	meanBasinGraphDegree	25.1034482759
barrier	mapBasinGraphDegree	28
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	8.4902929618
barrier	meanBarrier	51.8251999891
barrier	posteriorWeightedMeanBarrier	7.0913636209
barrier	maxBarrier	184.3777573577

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	11980647480481983567	0.7825887800	503667	0.9281666091
1	2368437438886534048	0.0346668301	185986	0.0704799764
2	10016259065765636172	0.0006210718	32227	0.0008168887
3	3271363114651503806	0.0004818612	202778	0.0004934995
4	5135454289099175652	0.0000208939	64606	0.0000216100
5	6925199430973522422	0.0000117002	173611	0.0000162900
6	4547092858312465736	0.0000018146	113470	0.0000031815
7	3407315660741998918	0.0000011218	129792	0.0000016863
8	7646423808209864380	0.0000001012	35261	0.0000001728
9	9915382808789733087	0.0000000724	66873	0.0000000801
10	10643338997898779043	0.0000000017	25526	0.0000000046
11	4857078269151549616	0.0000000006	147373	0.0000000010
12	11936920668185805881	0.0000000001	73197	0.0000000001
13	8632831784179799418	0.0000000000	56371	0.0000000000
14	18241009177151967742	0.0000000000	76647	0.0000000000
15	2310168232479834778	0.0000000000	2759	0.0000000000
16	2366885871750587334	0.0000000000	25933	0.0000000000
17	5068025685943288271	0.0000000000	57823	0.0000000000
18	11473762796051967383	0.0000000000	10832	0.0000000000
19	12976142475335680872	0.0000000000	14881	0.0000000000
20	18351819732852120847	0.0000000000	12531	0.0000000000
21	16140728623258478899	0.0000000000	1592	0.0000000000
22	545770292245091316	0.0000000000	6003	0.0000000000
23	1661295881198169406	0.0000000000	3960	0.0000000000
24	5283724761129346452	0.0000000000	217	0.0000000000
25	16718553533005530244	0.0000000000	1857	0.0000000000
26	17757697774520701316	0.0000000000	159	0.0000000000
27	4822782577277008059	0.0000000000	630	0.0000000000
28	14472019494373361988	0.0000000000	463	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	12	2368437438886534048	11936920668185805881	17297875531365055179	18285495436799040739	-8034.5937500000	0.0000000000	22.1190743823	1.8230698577
11	4	4857078269151549616	5135454289099175652	3233247110611424429	16624428082986830856	-8034.6904296875	0.0000000000	4.2849358408	14.8016742449
11	0	4857078269151549616	11980647480481983567	1761529270230069503	2010574230308497303	-8035.4975585938	0.0000000000	5.0920647470	26.1397070243
9	0	9915382808789733087	11980647480481983567	654042995499715427	15786215592635046830	-8035.5146484375	0.0000000000	9.9602371988	26.1567968680
6	2	4547092858312465736	10016259065765636172	7338925358243881695	15975428589724282874	-8036.0214843750	0.0000000000	13.6891244911	19.5247169165
7	9	3407315660741998918	9915382808789733087	8755769556044510750	17028272245016904573	-8036.1337890625	0.0000000000	13.3205381324	10.5793778238
5	2	6925199430973522422	10016259065765636172	11012868420034519447	13673505164867147659	-8036.4785156250	0.0000000000	16.0099115468	19.9817481665
10	12	10643338997898779043	11936920668185805881	8996983337104375161	17297875531365055179	-8037.5336914062	0.0000000000	8.2438152071	4.7630112639
13	2	8632831784179799418	10016259065765636172	8632831784179799418	9451331945371946118	-8037.6625976562	0.0000000000	2.1489465643	21.1658301977
1	5	2368437438886534048	6925199430973522422	3524598670438954254	15017986886157302843	-8037.7475585938	0.0000000000	25.2728829761	17.2789545156
9	12	9915382808789733087	11936920668185805881	5037487209585131519	11936920668185805881	-8039.1064453125	0.0000000000	13.5520340738	6.3357651702
3	4	3271363114651503806	5135454289099175652	4661333069944483611	8831571370608282975	-8039.1250000000	0.0000000000	22.3744417825	19.2362445574
6	0	4547092858312465736	11980647480481983567	4392007810039529995	12302673464895649288	-8039.2392578125	0.0000000000	16.9068979286	29.8814062430
8	0	7646423808209864380	11980647480481983567	8976645479629357445	10628074836271098575	-8039.7333984375	0.0000000000	14.5145390093	30.3755468680
3	13	3271363114651503806	8632831784179799418	1831575868869210991	18220585472239326605	-8040.7080078125	0.0000000000	23.9574495950	5.1943567205
1	13	2368437438886534048	8632831784179799418	11136425324681056872	16416347973243277068	-8041.0107421875	0.0000000000	28.5360665698	5.4970910955
7	0	3407315660741998918	11980647480481983567	10299040829232222092	14955910983086857724	-8041.1533203125	0.0000000000	18.3400693824	31.7954687430
6	12	4547092858312465736	11936920668185805881	3319509984646922429	11940782563960007314	-8041.3471679688	0.0000000000	19.0148080848	8.5764878264
5	8	6925199430973522422	7646423808209864380	11432203998576559908	15601433224543802812	-8042.1518554688	0.0000000000	21.6832513906	16.9329960406
3	12	3271363114651503806	11936920668185805881	6767563797172134502	10042597419446592357	-8043.2290039062	0.0000000000	26.4784456887	10.4583237639
4	5	5135454289099175652	6925199430973522422	7029154570814842417	12358675143842527281	-8044.1372070312	0.0000000000	24.2484515887	23.6686029531
5	14	6925199430973522422	18241009177151967742	15554563678491295644	18241009177151967742	-8044.3291015625	0.0000000000	23.8604974843	0.3667002353
3	11	3271363114651503806	4857078269151549616	9914281886259889476	17853432295514619643	-8044.5151367188	0.0000000000	27.7645785012	14.1096428720
12	0	11936920668185805881	11980647480481983567	7026614393144158076	16466081321664748271	-8045.8945312500	0.0000000000	13.1238511077	36.5366796805
3	7	3271363114651503806	3407315660741998918	898919469239036116	15226596376367283115	-8046.2089843750	0.0000000000	29.4584261575	23.3957334449
1	11	2368437438886534048	4857078269151549616	6367592822963017115	11952067279913358244	-8046.3964843750	0.0000000000	33.9218087573	15.9909905283
9	10	9915382808789733087	10643338997898779043	7542443593193628892	11723349680058704156	-8046.5981445312	0.0000000000	21.0437332925	17.3082683321
11	10	4857078269151549616	10643338997898779043	1130890089935426841	16659480979237583979	-8047.2768554688	0.0000000000	16.8713616220	17.9869792696
6	11	4547092858312465736	4857078269151549616	2855837158943419568	3289267810103141465	-8047.8994140625	0.0000000000	25.5670541786	17.4939202158
7	13	3407315660741998918	8632831784179799418	11445973274963624898	11868263641073853993	-8047.9360351562	0.0000000000	25.1227842262	12.4223840643
3	9	3271363114651503806	9915382808789733087	15730170124847894650	17654622625572239377	-8047.9462890625	0.0000000000	31.1957308450	22.3918778238
8	2	7646423808209864380	10016259065765636172	6139338564795587311	10994851415981261276	-8048.3193359375	0.0000000000	23.1004765093	31.8225684790
4	12	5135454289099175652	11936920668185805881	12134813051557046236	14497234441529023634	-8048.6650390625	0.0000000000	28.7762836199	15.8943589202
5	13	6925199430973522422	8632831784179799418	7041440495070517851	9803743985633197269	-8049.2070312500	0.0000000000	28.7384271718	13.6933801580
5	10	6925199430973522422	10643338997898779043	9982710296227887025	10898366661937497831	-8049.5693359375	0.0000000000	29.1007318593	20.2794597383
9	2	9915382808789733087	10016259065765636172	763610083305304817	13728257871554363227	-8049.6308593750	0.0000000000	24.0764481363	33.1340919165
5	9	6925199430973522422	9915382808789733087	3865403552412814133	9443041561292545659	-8049.6962890625	0.0000000000	29.2276849843	24.1418778238
8	12	7646423808209864380	11936920668185805881	3602331456931786994	14505200150290553151	-8050.8974609375	0.0000000000	25.6786015093	18.1267807952
15	1	2310168232479834778	2368437438886534048	2310168232479834778	16270083649179193053	-8051.0952148438	0.0000000000	0.0218306140	38.6205392261
16	11	2366885871750587334	4857078269151549616	2366885871750587334	12674397388744516368	-8051.6464843750	0.0000000000	0.0952372437	21.2409905283
15	12	2310168232479834778	11936920668185805881	2310168232479834778	18076016570077221222	-8051.6586914062	0.0000000000	0.5853071765	18.8880112639
16	14	2366885871750587334	18241009177151967742	2366885871750587334	6940902108094542036	-8051.8310546875	0.0000000000	0.2798075562	7.8686533603
11	12	4857078269151549616	11936920668185805881	552241107299263670	6606449425275260778	-8052.4360351562	0.0000000000	22.0305413095	19.6653550139
3	14	3271363114651503806	18241009177151967742	8364755435952891245	13348891686434846945	-8053.0346679688	0.0000000000	36.2841097512	9.0722666416
13	14	8632831784179799418	18241009177151967742	11679276291469123066	16004022799512812021	-8053.2431640625	0.0000000000	17.7295129705	9.2807627353
15	0	2310168232479834778	11980647480481983567	2310168232479834778	14106261792058708402	-8053.3071289062	0.0000000000	2.2337446765	43.9492773368
11	14	4857078269151549616	18241009177151967742	220072327424816973	6940902108094542036	-8054.0683593750	0.0000000000	23.6628655283	10.1059580478
5	12	6925199430973522422	11936920668185805881	2833163301066665530	7739957335340250310	-8054.3559570312	0.0000000000	33.8873529531	21.5852768889
17	0	5068025685943288271	11980647480481983567	5068025685943288271	15990375267557483425	-8055.6821289062	0.0000000000	0.6486339801	46.3242773368
1	10	2368437438886534048	10643338997898779043	760414671629936796	15733405050647296941	-8055.8476562500	0.0000000000	43.3729806323	26.5577800508
16	5	2366885871750587334	6925199430973522422	11782217867839373898	13042266834473169470	-8055.8696289062	0.0000000000	4.3183817750	35.4010248281
0	14	11980647480481983567	18241009177151967742	9821222065436241581	18241009177151967742	-8056.3867187500	0.0000000000	47.0288671805	12.4243174228
6	10	4547092858312465736	10643338997898779043	14353840552410436385	16167035668173355591	-8056.5571289062	0.0000000000	34.2247690223	27.2672527071
7	11	3407315660741998918	4857078269151549616	4394098539385879138	6273722596846360342	-8057.3110351562	0.0000000000	34.4977842262	26.9055413095
4	9	5135454289099175652	9915382808789733087	12884843327286487148	16915827059037964584	-8058.1923828125	0.0000000000	38.3036273699	32.6379715738
3	18	3271363114651503806	11473762796051967383	11473762796051967383	14757214043298107624	-8058.2587890625	0.0000000000	41.5082308450	0.5397043978
11	20	4857078269151549616	18351819732852120847	4081599070013760878	18351819732852120847	-8058.6499023438	0.0000000000	28.2444084970	0.0206024786
6	13	4547092858312465736	8632831784179799418	5455245326525967153	7896193087873188428	-8058.6777343750	0.0000000000	36.3453744911	23.1640832830
3	8	3271363114651503806	7646423808209864380	11500226861916513395	14266123740434450869	-8058.8603515625	0.0000000000	42.1097933450	33.6414921343
16	20	2366885871750587334	18351819732852120847	11134236050966834904	18351819732852120847	-8059.7998046875	0.0000000000	8.2485575562	1.1705048223
7	12	3407315660741998918	11936920668185805881	8520311543436404706	12129991697943365109	-8059.8691406250	0.0000000000	37.0558896949	27.0984604827
18	12	11473762796051967383	11936920668185805881	7838040778460894502	11473762796051967383	-8060.1689453125	0.0000000000	2.4498606478	27.3982651702
17	5	5068025685943288271	6925199430973522422	5068025685943288271	12805618419609879376	-8060.2070312500	0.0000000000	5.1735363239	39.7384271718
16	17	2366885871750587334	5068025685943288271	12041549343538940095	15304116163934978516	-8061.9384765625	0.0000000000	10.3872294312	6.9049816364
12	21	11936920668185805881	16140728623258478899	576666025358589558	16140728623258478899	-8061.9833984375	0.0000000000	29.2127182952	0.1536794139
22	11	545770292245091316	4857078269151549616	545770292245091316	18323331975669303028	-8062.6669921875	0.0000000000	0.0827536331	32.2614983408
11	17	4857078269151549616	5068025685943288271	9355477911650792188	12498893727723076404	-8062.6674804688	0.0000000000	32.2619866220	7.6339855426
22	16	545770292245091316	2366885871750587334	545770292245091316	8691468146431723423	-8063.2539062500	0.0000000000	0.6696676956	11.7026591187
3	19	3271363114651503806	12976142475335680872	14247600366456692083	18229070967427545581	-8063.5659179688	0.0000000000	46.8153597512	5.4947669168
3	20	3271363114651503806	18351819732852120847	6618381022941351253	18351819732852120847	-8063.7504882812	0.0000000000	46.9999300637	5.1211884161
7	21	3407315660741998918	16140728623258478899	4367305977640240649	16140728623258478899	-8063.7714843750	0.0000000000	40.9582334449	1.9417653514
6	4	4547092858312465736	5135454289099175652	706639801714014288	10741906686866878710	-8064.0253906250	0.0000000000	41.6930307411	44.1366351824
2	12	10016259065765636172	11936920668185805881	6284560604746734167	14758170938407414388	-8064.4267578125	0.0000000000	47.9299903540	31.6560776702
8	10	7646423808209864380	10643338997898779043	2493621526139253262	5527836827228030996	-8064.6357421875	0.0000000000	39.4168827593	35.3458659883
13	19	8632831784179799418	12976142475335680872	2953874490858453129	14629957969279837427	-8064.8891601562	0.0000000000	29.3755090643	6.8180091043
1	21	2368437438886534048	16140728623258478899	1741104005921841363	10099748032823823289	-8065.0239257812	0.0000000000	52.5492501636	3.1942067576
15	11	2310168232479834778	4857078269151549616	11458530209483652830	16708367409489274597	-8065.0278320312	0.0000000000	13.9544478015	34.6223381845
15	6	2310168232479834778	4547092858312465736	7352749361187894664	11803226182988446746	-8065.0810546875	0.0000000000	14.0076704578	42.7486948036
22	17	545770292245091316	5068025685943288271	545770292245091316	17140414700329165138	-8065.1464843750	0.0000000000	2.5622458206	10.1129894489
22	3	545770292245091316	3271363114651503806	545770292245091316	15746810261461396871	-8065.3212890625	0.0000000000	2.7370505081	48.5707308450
22	20	545770292245091316	18351819732852120847	9071255702129215714	10153669221668212335	-8065.3330078125	0.0000000000	2.7487692581	6.7037079473
11	8	4857078269151549616	7646423808209864380	4793893500272581830	15106074355845667396	-8066.2695312500	0.0000000000	35.8640374033	41.0506718218
16	0	2366885871750587334	11980647480481983567	3677724468715464500	13462382288470624016	-8066.4067382812	0.0000000000	14.8554911500	57.0488867118
6	21	4547092858312465736	16140728623258478899	1007980127171291046	1741104005921841363	-8066.8227539062	0.0000000000	44.4903940223	4.9930348826
4	8	5135454289099175652	7646423808209864380	10617033557331978199	13451201591903738022	-8066.8823242188	0.0000000000	46.9935687762	41.6634647906
6	18	4547092858312465736	11473762796051967383	1401189963950917976	18275899697738216464	-8066.9316406250	0.0000000000	44.5992807411	9.2125559603
11	13	4857078269151549616	8632831784179799418	10657974562861345525	15791845030538593171	-8067.3725585938	0.0000000000	36.9670647470	31.8589075018
22	5	545770292245091316	6925199430973522422	1718381803689497968	11058480573637718112	-8067.9453125000	0.0000000000	5.3610739456	47.4767084218
17	14	5068025685943288271	18241009177151967742	10312822122239051851	15130638597591653587	-8067.9887695312	0.0000000000	12.9552746051	24.0263682041
16	3	2366885871750587334	3271363114651503806	2467012993947453588	14646533919599847016	-8068.0493164062	0.0000000000	16.4980692750	51.2987581887
10	20	10643338997898779043	18351819732852120847	3267980146601352113	4735860381241326235	-8068.5551757812	0.0000000000	39.2652995821	9.9258759161
17	20	5068025685943288271	18351819732852120847	3267980146601352113	17426379342461757880	-8068.7314453125	0.0000000000	13.6979503864	10.1021454473
0	21	11980647480481983567	16140728623258478899	11059851725100953278	14981362057191554053	-8068.7597656250	0.0000000000	59.4019140555	6.9300466014
15	8	2310168232479834778	7646423808209864380	2057399108095901442	5196221646059789539	-8068.7617187500	0.0000000000	17.6883345203	43.5428593218
4	2	5135454289099175652	10016259065765636172	3781979656897480245	14457339236849601748	-8068.9711914062	0.0000000000	49.0824359637	52.4744239477
18	20	11473762796051967383	18351819732852120847	6126864036778180769	6624328871782725213	-8069.3686523438	0.0000000000	11.6495676791	10.7393524786
3	17	3271363114651503806	5068025685943288271	17140414700329165138	18210094556757337572	-8069.4799804688	0.0000000000	52.7294222512	14.4464855426
17	10	5068025685943288271	10643338997898779043	1063004352934772891	13639512904049773110	-8069.7231445312	0.0000000000	14.6896496051	40.4332683321
3	10	3271363114651503806	10643338997898779043	14555970537899772771	14955639146739422314	-8071.5830078125	0.0000000000	54.8324495950	42.2931316133
16	4	2366885871750587334	5135454289099175652	4059310104290242357	10486954414180792367	-8071.7509765625	0.0000000000	20.1997294312	51.8622211199
7	19	3407315660741998918	12976142475335680872	4392651835018557586	13838350933229489985	-8072.5605468750	0.0000000000	49.7472959449	14.4893958230
15	5	2310168232479834778	6925199430973522422	1266257041294036444	5503461696750267818	-8072.6215820312	0.0000000000	21.5481978015	52.1529779531
0	20	11980647480481983567	18351819732852120847	13476081732108393758	15680950898277359986	-8072.6801757812	0.0000000000	63.3223242118	14.0508759161
15	9	2310168232479834778	9915382808789733087	2208271619978495152	9692455674920029443	-8073.4331054688	0.0000000000	22.3597212390	47.8786942300
16	12	2366885871750587334	11936920668185805881	8230611701392505656	11807234572783876062	-8073.6713867188	0.0000000000	22.1201395875	40.9007065764
7	14	3407315660741998918	18241009177151967742	10652026418712178630	11991027661320427364	-8073.7397460938	0.0000000000	50.9264951637	29.7773447666
17	18	5068025685943288271	11473762796051967383	9327295850401950483	14858913743688804690	-8073.8325195312	0.0000000000	18.7990246051	16.1134348666
5	21	6925199430973522422	16140728623258478899	2638931655267065825	13803666060071150219	-8074.0659179688	0.0000000000	53.5973138906	12.2361989451
10	18	10643338997898779043	11473762796051967383	2599600252343199003	10401311157937218261	-8074.1699218750	0.0000000000	44.8800456758	16.4508372103
7	18	3407315660741998918	11473762796051967383	928610589134729093	5206727719035132530	-8075.0234375000	0.0000000000	52.2101865699	17.3043528353
18	19	11473762796051967383	12976142475335680872	928610589134729093	13838350933229489985	-8075.0234375000	0.0000000000	17.3043528353	16.9522864480
22	14	545770292245091316	18241009177151967742	10927341077953877152	13413182244054904358	-8075.2260742188	0.0000000000	12.6418356644	31.2636728916
16	18	2366885871750587334	11473762796051967383	6126864036778180769	7615681491828803558	-8075.3027343750	0.0000000000	23.7514872437	17.5836497103
23	5	1661295881198169406	6925199430973522422	1661295881198169406	15316116595536881774	-8075.7421875000	0.0000000000	0.1422422043	55.2735834218
23	7	1661295881198169406	3407315660741998918	1661295881198169406	15526477629916834572	-8075.7714843750	0.0000000000	0.1715390793	52.9582334449
22	0	545770292245091316	11980647480481983567	3831303365680512288	5078576980582688129	-8076.1499023438	0.0000000000	13.5656637894	66.7920507743
9	21	9915382808789733087	16140728623258478899	13415581631549980037	14779742577968578288	-8076.2299804688	0.0000000000	50.6755692300	14.4002614451
3	21	3271363114651503806	16140728623258478899	7864171758787638545	9246768837961352335	-8076.6655273438	0.0000000000	59.9149691262	14.8358083201
8	21	7646423808209864380	16140728623258478899	13493731945373131049	17947012984782050759	-8077.4765625000	0.0000000000	52.2577030718	15.6468434764
11	2	4857078269151549616	10016259065765636172	5989603690456506598	9591086972420641089	-8077.7099609375	0.0000000000	47.3044670908	61.2131934790
7	10	3407315660741998918	10643338997898779043	1203037067919761044	5187722388046243609	-8077.9453125000	0.0000000000	55.1320615699	48.6554363008
6	17	4547092858312465736	5068025685943288271	7690638890055228033	9452513408194372969	-8078.1445312500	0.0000000000	55.8121713661	23.1110363239
17	12	5068025685943288271	11936920668185805881	11807234572783876062	17405975590042200619	-8078.1513671875	0.0000000000	23.1178722614	45.3806870452
13	0	8632831784179799418	11980647480481983567	10945883322587552926	15772200984575538912	-8078.7128906250	0.0000000000	43.1992395330	69.3550390555
16	19	2366885871750587334	12976142475335680872	12737847091724309847	14640453910041409639	-8078.9306640625	0.0000000000	27.3794169312	20.8595130105
2	21	10016259065765636172	16140728623258478899	5424137358026338128	16832131683364435625	-8079.4677734375	0.0000000000	62.9710059790	17.6380544139
