cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50	alignment	twist	method	power	dataset	source_file	baseTau95	speedupTau95
1000000	50	0.999991	1e-06	9e-06	1e-06	0.953254	0.0	1.0	371.3	43.371817	0.359121	0.000131	38	37	81	23	319	21	29	18	51	34	52	47	266	52	28	78	783	20	74	32	39	65	29	17	41	21	49	266	42	61	60	11	7	15	200	49	29	22	55	22	45	42	35	73	689	42	1058	27	23	16	vert.atpase6	tw0	NNI	0.05	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI_0.050000.tsv	765.0	2.060328575276057
1000000	50	0.999994	0.0	6e-06	0.0	0.953254	0.0	1.0	18402.94	5295.818669	0.352789	0.001913	21	43577	48829	85583	217	126136	73	105	21	33	115517	5097	38	174	101	38	14	25	50	19	39345	53	6464	28075	171814	40	433	956	21	142	28	18	49	5120	11390	38629	49	66972	40	30	2101	453	63043	21	28	48055	272	18	196	16	vert.atpase6	tw0	NNI	0.1	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI_0.100000.tsv	765.0	0.04156944488217644
1000000	50	0.259998	0.062662	0.740002	0.062662	0.247846	0.059733	0.26	135916.461538	61244.516744	0.080722	0.020231	-1	-1	-1	-1	-1	71	12	-1	-1	-1	97541	-1	-1	201147	-1	-1	310200	-1	-1	-1	6	-1	-1	-1	-1	503782	-1	-1	-1	-1	-1	-1	22	651347	-1	-1	-1	11	-1	45	-1	121	-1	-1	-1	33	-1	-1	-1	-1	vert.atpase6	tw0	NNI	0.2	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI_0.200000.tsv	765.0	0.005628457299016121
1000000	50	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	vert.atpase6	tw0	NNI	0.3	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI_0.300000.tsv	765.0	
1000000	50	0.04	0.027994	0.96	0.027994	0.03813	0.026686	0.04	390.0	262.0	0.014383	0.010066	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	vert.atpase6	tw0	NNI	0.4	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI_0.400000.tsv	765.0	1.9615384615384615
1000000	50	0.02	0.02	0.98	0.02	0.019065	0.019065	0.02	36.0	0.0	0.007178	0.007178	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	vert.atpase6	tw0	NNI	0.5	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI_0.500000.tsv	765.0	21.25
1000000	50	0.999953	3e-06	4.7e-05	3e-06	0.953254	0.0	1.0	1054.72	104.782173	0.358852	0.000397	53	191	220	242	246	105	107	181	114	226	100	82	139	257	113	204	413	206	134	162	95	226	129	209	176	455	381	438	134	502	528	379	276	198	64	498	94	146	110	97	634	196	220	260	150	31	89	313	173	339	vert.atpase6	tw0	NNI2	0.0	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI2_0.000000.tsv	765.0	0.7253109830097088
1000000	50	0.999984	1e-06	1.6e-05	1e-06	0.953254	0.0	1.0	471.4	53.589087	0.359696	0.000206	116	92	148	44	160	37	92	67	46	19	36	110	41	79	15	78	35	31	152	62	65	16	53	19	23	66	18	53	28	160	110	23	111	275	63	30	24	172	33	29	54	158	89	106	14	34	137	80	285	83	vert.atpase6	tw0	NNI2	0.02	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI2_0.020000.tsv	765.0	1.622825625795503
1000000	50	0.999989	1e-06	1.1e-05	1e-06	0.953254	0.0	1.0	295.2	25.129558	0.359463	0.000206	23	49	19	70	8	37	23	51	37	363	111	26	25	8	47	17	11	20	38	20	6	19	121	105	28	32	48	424	87	20	22	153	22	17	43	30	14	40	23	29	25	202	11	20	115	32	43	33	13	13	vert.atpase6	tw0	NNI2	0.05	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI2_0.050000.tsv	765.0	2.5914634146341466
1000000	50	0.999993	0.0	7e-06	0.0	0.953254	0.0	1.0	3516.44	1557.483593	0.357997	0.000569	21	14	6647	13282	51825	17	30	10	28	14	23	2249	43	5361	10	11	9	20	37	322	8240	154	12	13	9	14	56746	16	9	12	8	11	36	19	68	11	26	24	24	8	81	14	26	18	318	34	33	7687	16	15246	vert.atpase6	tw0	NNI2	0.1	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI2_0.100000.tsv	765.0	0.2175495671758938
1000000	50	0.559997	0.070912	0.440003	0.070912	0.533822	0.067598	0.56	28003.892857	15500.658484	0.195556	0.024955	-1	7	13	10	16	-1	14	-1	-1	-1	9	270021	128	15	9	21	259697	18	-1	-1	-1	14	33	-1	251298	16	-1	15	10	-1	-1	-1	29	10	-1	-1	9	13	-1	-1	16	5	-1	-1	-1	-1	13	6	21	-1	vert.atpase6	tw0	NNI2	0.2	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI2_0.200000.tsv	765.0	0.027317630584662682
1000000	50	0.419998	0.070508	0.580002	0.070508	0.400367	0.067212	0.42	70.52381	6.487211	0.150833	0.025321	-1	-1	-1	5	8	11	16	-1	-1	5	-1	4	-1	-1	21	-1	5	5	-1	-1	13	11	-1	-1	-1	17	-1	-1	12	-1	-1	-1	-1	6	-1	7	-1	10	-1	-1	-1	14	6	-1	-1	-1	14	12	-1	6	vert.atpase6	tw0	NNI2	0.3	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI2_0.300000.tsv	765.0	10.847400331887911
1000000	50	0.259999	0.062662	0.740001	0.062662	0.247846	0.059733	0.26	83.384615	16.147374	0.093368	0.022503	-1	-1	-1	-1	-1	7	10	-1	-1	6	-1	9	-1	-1	4	-1	-1	11	-1	-1	6	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	7	-1	-1	-1	-1	9	6	5	-1	-1	-1	-1	vert.atpase6	tw0	NNI2	0.4	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI2_0.400000.tsv	765.0	9.174354285859568
1000000	50	0.359999	0.068571	0.640001	0.068571	0.343172	0.065366	0.36	6600.0	5404.742286	0.12841	0.024469	11	-1	-1	5	-1	-1	-1	-1	21596	4	114	5	6	-1	6	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	96158	11	-1	7	-1	-1	6	10	-1	-1	13	-1	-1	-1	-1	9	-1	-1	-1	25	-1	21	-1	-1	-1	vert.atpase6	tw0	NNI2	0.5	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI2_0.500000.tsv	765.0	0.1159090909090909
