analysis	power	num_reps	num_found	fraction_found	fraction_se	mean_first_hit	mean_first_hit_se	censored_mean_first_hit	censored_mean_first_hit_se
TBR	0.05	50	50	1.0	0.0	43.64	4.6994363535232955	43.64	4.6994363535232955
TBR	0.05	50	50	1.0	0.0	34.78	3.016998102588135	34.78	3.016998102588135
TBR	0.05	50	50	1.0	0.0	57.7	5.755937484591942	57.7	5.755937484591942
TBR	0.05	50	50	1.0	0.0	175.8	19.333950259920016	175.8	19.333950259920016
TBR	0.05	50	50	1.0	0.0	20.78	1.3131330349004775	20.78	1.3131330349004775
rTBR	0.05	50	50	1.0	0.0	47.9	4.945684575300708	47.9	4.945684575300708
rTBR	0.05	50	50	1.0	0.0	44.4	3.665503835402023	44.4	3.665503835402023
rTBR	0.05	50	50	1.0	0.0	61.72	5.540503182040787	61.72	5.540503182040787
rTBR	0.05	50	50	1.0	0.0	185.36	24.53393751104617	185.36	24.53393751104617
rTBR	0.05	50	50	1.0	0.0	33.38	2.480929713816568	33.38	2.480929713816568
mc3_NNI	0.05	50	50	1.0	0.0	28.56	1.5349426632913155	28.56	1.5349426632913155
mc3_NNI	0.05	50	50	1.0	0.0	23.5	1.5675927209500273	23.5	1.5675927209500273
mc3_NNI	0.05	50	50	1.0	0.0	35.4	1.8523013815692264	35.4	1.8523013815692264
mc3_NNI	0.05	50	50	1.0	0.0	65.32	5.871719839838327	65.32	5.871719839838327
mc3_NNI	0.05	50	50	1.0	0.0	17.66	0.8449658850739333	17.66	0.8449658850739333
NNI	0.1	50	50	1.0	0.0	18190.78	5293.972185172453	18190.78	5293.972185172453
NNI	0.1	50	50	1.0	0.0	26.46	1.760846271494685	26.46	1.760846271494685
NNI	0.1	50	50	1.0	0.0	294.48	68.71358027555918	294.48	68.71358027555918
NNI	0.1	50	50	1.0	0.0	380.56	69.05280534873737	380.56	69.05280534873737
NNI	0.1	50	50	1.0	0.0	34.78	12.834465397546419	34.78	12.834465397546419
NNI2	0.1	50	50	1.0	0.0	3378.12	1558.3128803855502	3378.12	1558.3128803855502
NNI2	0.1	50	50	1.0	0.0	18.26	1.57682450203061	18.26	1.57682450203061
NNI2	0.1	50	50	1.0	0.0	256.12	69.19990940185176	256.12	69.19990940185176
NNI2	0.1	50	50	1.0	0.0	203.02	42.87825660863462	203.02	42.87825660863462
NNI2	0.1	50	50	1.0	0.0	12.32	0.7386916177421055	12.32	0.7386916177421055
TBR	0.1	50	50	1.0	0.0	19.46	1.845725342735567	19.46	1.845725342735567
TBR	0.1	50	50	1.0	0.0	20.92	2.0281367743597087	20.92	2.0281367743597087
TBR	0.1	50	50	1.0	0.0	22.08	2.2700966445308457	22.08	2.2700966445308457
TBR	0.1	50	50	1.0	0.0	99.2	12.708473792019598	99.2	12.708473792019598
TBR	0.1	50	50	1.0	0.0	10.26	0.7394482223045693	10.26	0.7394482223045693
rTBR	0.1	50	50	1.0	0.0	34.44	3.319965576413621	34.44	3.319965576413621
rTBR	0.1	50	50	1.0	0.0	31.96	2.9293671392870326	31.96	2.9293671392870326
rTBR	0.1	50	50	1.0	0.0	42.88	3.8529755265461088	42.88	3.8529755265461088
rTBR	0.1	50	50	1.0	0.0	97.54	10.894380127723968	97.54	10.894380127723968
rTBR	0.1	50	50	1.0	0.0	23.66	1.484782674951703	23.66	1.484782674951703
mc3_NNI	0.1	50	50	1.0	0.0	429.48	288.9441697926138	429.48	288.9441697926138
