section	statistic	value
summary	numTrees	2027025
summary	numEdges	127702575
summary	meanDegree	126.0000000000
local	numLocalPeaks	10
local	posteriorMassOfLocalPeaks	0.9680761741
local	meanUphillFraction	0.4944355442
local	posteriorWeightedMeanUphillFraction	0.0009061440
local	meanBestNeighborLnLDifference	87.9045338755
local	posteriorWeightedMeanBestNeighborLnLDifference	-4.7362699793
local	meanNeighborAbsLnLDifference	22.9836583364
local	posteriorWeightedMeanNeighborAbsLnLDifference	29.3324610371
basin	numPeaks	10
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	1330813
basin	largestBasinMass	0.9985388879
basin	basinMassEntropy	0.0109989982
basin	effectiveNumBasins	1.0110597095
basin	mapTreeHash	12753113776263123193
basin	mapPeakHash	12753113776263123193
basin	mapPeakId	0
basin	mapBasinMass	0.9985388879
basin	posteriorMassOutsideMapBasin	0.0014611121
ascent	meanAscentLength	5.4570811904
ascent	posteriorWeightedMeanAscentLength	0.0319816321
ascent	meanAscentLengthCredible95	0.0000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.0000000000
ascent	maxAscentLength	10
credible95	credible95NumTrees	1
credible95	credible95Mass	0.9674273441
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	1
credible95	credible95LargestComponentMass	0.9674273441
credible95	credible95MapComponentSize	1
credible95	credible95MapComponentMass	0.9674273441
barrier	basinGraphEdges	45
barrier	meanBasinGraphDegree	9.0000000000
barrier	mapBasinGraphDegree	9
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	9.1790179142
barrier	meanBarrier	85.3086289895
barrier	posteriorWeightedMeanBarrier	5.5254054931
barrier	maxBarrier	193.8859994401

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	12753113776263123193	0.9674273441	1330813	0.9985388879
7	3	11355350159960510222	11511765956412094187	6666690356219142762	12831996313926749043	-2100.1447753906	0.0000000000	73.0294291867	127.7922494401
6	3	1367515634406350426	11511765956412094187	4843428716828087907	14379528134253111545	-2102.7854003906	0.0000000000	92.4386811230	130.4328744401
9	7	3616877052231198297	11355350159960510222	5046874348905080936	13662905812824683508	-2107.7614746094	0.0000000000	62.9065087702	80.6461284054
3	5	11511765956412094187	11978852144490829239	3274495868458096736	3970330345305233984	-2110.1481933594	0.0000000000	137.7956674089	104.1544550838
4	5	2759873300401432436	11978852144490829239	4367961476252121273	17726662416907159472	-2111.7695312500	0.0000000000	130.1973850383	105.7757929745
4	9	2759873300401432436	3616877052231198297	5906152435060153754	11052447539989841266	-2112.4392089844	0.0000000000	130.8670627727	67.5842431452
6	9	1367515634406350426	3616877052231198297	9659740733629115828	12028016524356271109	-2112.5800781250	0.0000000000	102.2333588574	67.7251122858
8	7	5661661118359295809	11355350159960510222	6046938317353890846	12028766518119908500	-2114.3083496094	0.0000000000	85.2055788603	87.1930034054
4	8	2759873300401432436	5661661118359295809	11579137168382245765	16403083435631781935	-2116.7114257812	0.0000000000	135.1392795695	87.6086550322
9	5	3616877052231198297	11978852144490829239	2212044835057717367	13579375073044383111	-2122.7192382812	0.0000000000	77.8642724421	116.7255000057
6	7	1367515634406350426	11355350159960510222	8948291962128076406	9101082326062035891	-2129.2021484375	0.0000000000	118.8554291699	102.0868022335
6	4	1367515634406350426	2759873300401432436	3157511466542733765	9850616198543017612	-2132.7675781250	0.0000000000	122.4208588574	151.1954319133
4	7	2759873300401432436	11355350159960510222	8949495143752810957	12924213668263310179	-2134.7014160156	0.0000000000	153.1292698039	107.5860698117
8	3	5661661118359295809	11511765956412094187	7092355907365265544	14545265858743176412	-2161.2055664062	0.0000000000	132.1027956572	188.8530404557
9	3	3616877052231198297	11511765956412094187	8049237065896809612	8981520368637076369	-2166.2385253906	0.0000000000	121.3835595514	193.8859994401
9	8	3616877052231198297	5661661118359295809	5339032323661617435	9257242408068322116	-2176.1008300781	0.0000000000	131.2458642389	146.9980593291
