move_type	power	analysis_name	num_states	stationary_discrepancy	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	1.1120004086979331e-16	0	0	nan	nan	0.99750223404995053	0.0024977659500494687	400.35776770045044	799.71553540090076	1	4	1	0	0.075554799119340266	0.32203713798556549	982.14066819387244	0	0.050458170442155989	nan	1.7811396609961019	5.9811114875678754e+300	713979	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	282804.57777514495
NNI2	0	NNI2 (0.000000)	2027025	3.9565516946159581e-17	0	0	nan	nan	0.99576712432700987	0.0042328756729901329	236.24601270029578	471.49202540059156	1	4	1	0	0.017573991892036799	0.11505720711710146	992.27776192521765	0	0.0074205174726510899	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	166879.37131339294
TBR	0	TBR (0.000000)	2027025	2.9911603650870127e-17	0	0	nan	nan	0.99001465202368755	0.0099853479763124531	100.14673523368745	199.29347046737487	1	4	1	0	0.015962857586390117	0.10249491516217872	1067.952207520563	0	0.0091894470323824716	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	70741.60150174555
NNI	0.02	NNI (0.020000)	2027025	1.1454928191792428e-16	0	0	nan	nan	0.99619890958969359	0.0038010904103064069	263.0824032200249	525.1648064400498	1	4	1	0	0.11630883255006345	0.44188475828633056	617.56809238283074	0	0.077605362722771923	nan	1.7811396609961019	5.9811114875678754e+300	713979	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	185836.05455988826
NNI2	0.02	NNI2 (0.020000)	2027025	2.168411836683049e-17	0	0	nan	nan	0.99424793657780741	0.0057520634221925881	173.8506561213849	346.7013122427698	1	4	1	0	0.041408001673649775	0.23504465065124247	504.67199686718857	0	0.017849605149545693	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	122804.56470596323
TBR	0.02	TBR (0.020000)	2027025	4.3707205774650276e-17	0	0	nan	nan	0.96510868869660948	0.034891311303390515	28.660430423628888	56.320860847257769	1	4	1	0	0.050164891034295805	0.26365430695924996	313.19490637261276	0	0.028714155061240396	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	20245.144705853822
NNI	0.050000000000000003	NNI (0.050000)	2027025	2.7991744486950554e-17	0	0	nan	nan	0.99825846899847315	0.0017415310015268526	574.20740665728601	1147.414813314572	1	4	1	0	0.16312526938247063	0.55912496854660287	1466.4667844624576	0	0.11072942595427894	nan	1.7811396609961019	5.9811114875678754e+300	713979	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	405608.42400539195
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	1.2918249908047129e-16	0	0	nan	nan	0.99897538097154936	0.0010246190284506351	975.97250512918686	1950.9450102583737	1	4	1	0	0.075858181007308109	0.38266573840616352	1305.3625686725504	0	0.033965432182067962	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	689407.11157857208
TBR	0.050000000000000003	TBR (0.050000)	2027025	4.3415944411775698e-17	0	0	nan	nan	0.93790315137469082	0.062096848625309176	16.103876801123594	31.207753602247191	1	4	1	0	0.082080273171666482	0.38938810342915881	175.83125804477808	0	0.04796303581629506	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	11375.450765376181
NNI	0.10000000000000001	NNI (0.100000)	2027025	2.9040449197070992e-17	0	0	nan	nan	0.99999797340847629	2.0265915237072107e-06	493439.34794058366	986877.69588116731	1	4	1	0	0.23216877812828574	0.70209826582706381	786796.52159242984	0	0.16332835694150907	nan	1.7811396609961019	5.9811114875678754e+300	713979	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	348703689.85375631
NNI2	0.10000000000000001	NNI2 (0.100000)	2027025	5.667300702262868e-17	0	0	nan	nan	0.99999310148121168	6.8985187883230381e-06	144958.65426831579	289916.30853663158	1	4	1	0	0.13286600308239851	0.58900986264565869	176310.12595058643	0	0.063695414243283455	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	102397207.63821268
TBR	0.10000000000000001	TBR (0.100000)	2027025	2.539527095310689e-16	0	0	nan	nan	0.90671132844429947	0.093288671555700531	10.719415158601791	20.438830317203582	1	4	1	0	0.11981113658779019	0.52061300587676662	109.64475587198785	0	0.072705598269769606	nan	1.7811396609961019	5.9811114875678754e+300	1169292	0.56143828690039399	7	0.9532543632203474	nan	nan	9.9999999999999995e-07	7571.9766742995289
