section	statistic	value
summary	numTrees	2027025
summary	numEdges	127702575
summary	meanDegree	126.0000000000
local	numLocalPeaks	13
local	posteriorMassOfLocalPeaks	0.6286034955
local	meanUphillFraction	0.5011311357
local	posteriorWeightedMeanUphillFraction	0.0060289962
local	meanBestNeighborLnLDifference	29.2425549304
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.1938298662
local	meanNeighborAbsLnLDifference	9.9629753432
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.4070417716
basin	numPeaks	13
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	914690
basin	largestBasinMass	0.9949266975
basin	basinMassEntropy	0.0319448873
basin	effectiveNumBasins	1.0324606021
basin	mapTreeHash	10667474865877392284
basin	mapPeakHash	10667474865877392284
basin	mapPeakId	0
basin	mapBasinMass	0.9949266975
basin	posteriorMassOutsideMapBasin	0.0050733025
ascent	meanAscentLength	5.6577619911
ascent	posteriorWeightedMeanAscentLength	0.3722815503
ascent	meanAscentLengthCredible95	0.7500000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.3453925989
ascent	maxAscentLength	13
credible95	credible95NumTrees	4
credible95	credible95Mass	0.9551574741
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	4
credible95	credible95LargestComponentMass	0.9551574741
credible95	credible95MapComponentSize	4
credible95	credible95MapComponentMass	0.9551574741
barrier	basinGraphEdges	78
barrier	meanBasinGraphDegree	12.0000000000
barrier	mapBasinGraphDegree	12
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	7.6305633629
barrier	meanBarrier	19.9230718841
barrier	posteriorWeightedMeanBarrier	5.0182302577
barrier	maxBarrier	58.1132520359

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	10667474865877392284	0.6252531517	914690	0.9949266975
1	10324198887431388283	0.0033407533	551625	0.0050623808
2	14093486591111374668	0.0000095611	160405	0.0000108669
3	15571085747497726625	0.0000000247	84981	0.0000000493
4	17799708269756447471	0.0000000040	77560	0.0000000044
5	10079227655342552495	0.0000000006	65185	0.0000000007
6	13355927625687165021	0.0000000002	24322	0.0000000003
7	16550426852500463777	0.0000000000	54133	0.0000000001
8	10118968526249132794	0.0000000000	22488	0.0000000000
9	11384733198153311516	0.0000000000	30678	0.0000000000
10	7823186920941671451	0.0000000000	20466	0.0000000000
11	4138555004563608843	0.0000000000	14278	0.0000000000
12	230773126182757894	0.0000000000	6214	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
12	10	230773126182757894	7823186920941671451	7733796479768678594	18418633987711271449	-5490.2373046875	0.0000000000	2.0426636022	3.7144745849
1	6	10324198887431388283	13355927625687165021	11620918556462321579	12226353860661577027	-5490.4941406250	0.0000000000	30.3600288458	13.5422041946
8	1	10118968526249132794	10324198887431388283	15215958255541391930	17662313893861000872	-5490.7246093750	0.0000000000	5.7416174237	30.5904975958
1	3	10324198887431388283	15571085747497726625	9945668115958496947	17828769381016007346	-5490.8320312500	0.0000000000	30.6979194708	18.8821756670
12	3	230773126182757894	15571085747497726625	230773126182757894	4628943560386702752	-5490.9467773438	0.0000000000	2.7521362584	18.9969217607
11	4	4138555004563608843	17799708269756447471	4138555004563608843	5556481707007377666	-5491.5498046875	0.0000000000	3.5863965671	17.7812567500
10	2	7823186920941671451	14093486591111374668	5529220891758791692	10546751838673902609	-5491.7075195312	0.0000000000	5.1846894286	25.7171548669
10	3	7823186920941671451	15571085747497726625	11990753466986849971	17464036567573845965	-5491.7343750000	0.0000000000	5.2115448974	19.7845194170
11	0	4138555004563608843	10667474865877392284	2433276614143581725	12399040129754354860	-5492.2382812500	0.0000000000	4.2748731296	37.3361297692
2	4	14093486591111374668	17799708269756447471	12730811942024345686	17155554251701250681	-5492.3925781250	0.0000000000	26.4022134607	18.6240301875
5	1	10079227655342552495	10324198887431388283	11090188429007462738	13780683780384865219	-5492.7128906250	0.0000000000	16.9672535780	32.5787788458
3	4	15571085747497726625	17799708269756447471	3374397758373242900	6535103297331574149	-5492.9960937500	0.0000000000	21.0462381670	19.2275458125
8	2	10118968526249132794	14093486591111374668	2747588696662623730	5890021581650967125	-5493.4848632812	0.0000000000	8.5018713300	27.4944986169
12	8	230773126182757894	10118968526249132794	10504857042086871607	15721143735187166628	-5493.6079101562	0.0000000000	5.4132690709	8.6249182050
10	7	7823186920941671451	16550426852500463777	7253352232249772044	11357898340897756903	-5494.8867187500	0.0000000000	8.3638886474	15.6612308594
8	3	10118968526249132794	15571085747497726625	6178341601023399707	9079020852835075910	-5496.0229492188	0.0000000000	11.0399572675	24.0730936357
12	7	230773126182757894	16550426852500463777	2079319188725599746	16942283177797146465	-5496.1323242188	0.0000000000	7.9376831334	16.9068363282
11	2	4138555004563608843	14093486591111374668	6586448245364207295	18369706196921636690	-5496.8916015625	0.0000000000	8.9281934421	30.9012368982
5	8	10079227655342552495	10118968526249132794	14762533724621884533	17455568467932895264	-5497.1147460938	0.0000000000	21.3691090467	12.1317541425
6	4	13355927625687165021	17799708269756447471	4516488830216777851	10902371941320180181	-5497.4433593750	0.0000000000	20.4914229446	23.6748114375
12	2	230773126182757894	14093486591111374668	2688353247458985475	8447312637570873619	-5499.2709960938	0.0000000000	11.0763550084	33.2806314294
8	7	10118968526249132794	16550426852500463777	1127285332104732152	5595703722606057925	-5499.5888671875	0.0000000000	14.6058752362	20.3633792969
11	1	4138555004563608843	10324198887431388283	6582529532771150648	17270117770898964201	-5500.0878906250	0.0000000000	12.1244825046	39.9537788458
6	7	13355927625687165021	16550426852500463777	6402501647003707814	7512431136853298903	-5501.5131835938	0.0000000000	24.5612471633	22.2876957032
9	2	11384733198153311516	14093486591111374668	6647440867530088481	13767254549237938814	-5501.5771484375	0.0000000000	15.4435522113	35.5867837732
5	3	10079227655342552495	15571085747497726625	11120239682259547599	17395667219641787890	-5502.7631835938	0.0000000000	27.0175465467	30.8133280107
9	4	11384733198153311516	17799708269756447471	7638323959890925419	9222751215651972858	-5502.8686523438	0.0000000000	16.7350561176	29.1001044063
9	3	11384733198153311516	15571085747497726625	3140727911633567596	16298007830431462257	-5504.2001953125	0.0000000000	18.0665990863	32.2503397295
9	7	11384733198153311516	16550426852500463777	3770798787649587355	7318479429708486553	-5505.2041015625	0.0000000000	19.0705053363	25.9786136719
10	9	7823186920941671451	11384733198153311516	3609041401510283113	16298007830431462257	-5505.2124023438	0.0000000000	18.6895722411	19.0788061176
11	7	4138555004563608843	16550426852500463777	3950360449945731527	15484791085932125757	-5505.2924804688	0.0000000000	17.3290723484	26.0669925782
10	4	7823186920941671451	17799708269756447471	3878389738835066252	12948450055602224915	-5505.8349609375	0.0000000000	19.3121308349	32.0664130000
5	6	10079227655342552495	13355927625687165021	7696915375122911585	18428926919829388804	-5506.1665039062	0.0000000000	30.4208668592	29.2145674758
12	9	230773126182757894	11384733198153311516	1595866989085440855	3587251631076217118	-5506.5356445312	0.0000000000	18.3410034459	20.4020483051
10	5	7823186920941671451	10079227655342552495	6128815629753889487	12684698307122776712	-5508.6933593750	0.0000000000	22.1705292724	32.9477223280
12	4	230773126182757894	17799708269756447471	834783947609574635	10140863781630770785	-5509.1118164062	0.0000000000	20.9171753209	35.3432684688
8	9	10118968526249132794	11384733198153311516	7363471291718308008	8382423053807451432	-5510.0166015625	0.0000000000	25.0336096112	23.8830053363
11	6	4138555004563608843	13355927625687165021	10114558153082722866	17276734782957862574	-5511.9604492188	0.0000000000	23.9970410984	35.0085127883
5	9	10079227655342552495	11384733198153311516	14256334619655751209	16751763318020421800	-5514.8168945312	0.0000000000	39.0712574842	28.6832983051
11	9	4138555004563608843	11384733198153311516	12724563107172564573	15776100487752530102	-5515.6748046875	0.0000000000	27.7113965671	29.5412084613
8	6	10118968526249132794	13355927625687165021	1801494421788739765	16223519186661573273	-5517.0351562500	0.0000000000	32.0521642987	40.0832198196
8	4	10118968526249132794	17799708269756447471	13307950083801644105	16799791341336611936	-5517.5375976562	0.0000000000	32.5546057050	43.7690497188
9	6	11384733198153311516	13355927625687165021	4848844548525241336	11297863678086070238	-5519.8120117188	0.0000000000	33.6784154926	42.8600752883
11	3	4138555004563608843	15571085747497726625	4390588047665104568	6603246696078209727	-5520.2055664062	0.0000000000	32.2421582859	48.2557108232
11	8	4138555004563608843	10118968526249132794	14485962928741250517	15306339196998888796	-5521.2944335938	0.0000000000	33.3310254734	36.3114416425
10	6	7823186920941671451	13355927625687165021	1148080214653433226	8318143458433161301	-5523.4467773438	0.0000000000	36.9239472411	46.4948409133
12	5	230773126182757894	10079227655342552495	1950460087539993670	5282256873176035540	-5523.6777343750	0.0000000000	35.4830932897	47.9320973280
11	10	4138555004563608843	7823186920941671451	3488587701471311748	17397207330250280320	-5528.4614257812	0.0000000000	40.4980176609	41.9385956786
12	6	230773126182757894	13355927625687165021	2312300827290004688	16710797307919115145	-5529.7661132812	0.0000000000	41.5714721959	52.8141768508
12	11	230773126182757894	4138555004563608843	16412604066880258362	16415810553200926318	-5546.0766601562	0.0000000000	57.8820190709	58.1132520359
