twist	method	power	mean_speedup	se_speedup	mean_tau95	n_alignments
tw0	MC3_NNI	0.0	2.298845446567272	0.2762354048068554	146.23090909090908	11
tw0	MC3_NNI	0.02	3.9677187682957578	0.4551044047038307	101.18545454545455	11
tw0	MC3_NNI	0.05	5.719341441108688	0.7952518460068428	81.2909090909091	11
tw0	MC3_NNI	0.1	6.770209525260291	1.202096004501948	113.93818181818182	11
tw0	MC3_NNI	0.2	4.373257279470186	0.9303388062257424	12979.010681818181	11
tw0	MC3_NNI	0.3	0.1784372709716758	0.0842338733979213	23643.24185809091	11
tw0	MC3_NNI	0.4	0.3251709346437488	0.3208344714328027	96278.48846590909	11
tw0	MC3_NNI	0.5	0.17160261521245787	0.15081740109185687	87001.72997845455	11
tw0	NNI	0.0	1.0	0.0	364.38363636363636	11
tw0	NNI	0.02	1.729637703221223	0.17995476924353468	267.7781818181818	11
tw0	NNI	0.05	2.691168540713806	0.37307111340531984	206.07454545454547	11
tw0	NNI	0.1	3.0928225535807887	0.575855684592881	1847.4236363636364	11
tw0	NNI	0.2	0.5566420899725536	0.2791435629876391	17229.08246309091	11
tw0	NNI	0.3	0.008263565618535838	0.0036210384625176392	68529.72017790908	11
tw0	NNI	0.4	0.19781659547280633	0.1959701333826857	127779.47093190909	11
tw0	NNI	0.5	2.3694954077362853	2.11140105998916	110617.36363636363	11
tw0	NNI2	0.0	0.5203612204489917	0.07407062740787823	721.0472727272728	11
tw0	NNI2	0.02	1.2989232983972074	0.2144986751281173	381.85636363636365	11
tw0	NNI2	0.05	3.018116699460778	0.7010747914739961	221.13090909090909	11
tw0	NNI2	0.1	5.088048126279634	1.5607517286808843	455.0981818181818	11
tw0	NNI2	0.2	7.186884450524288	2.905593194702195	5429.219350636364	11
tw0	NNI2	0.3	1.139023361158556	0.9739406659118873	13514.874406272727	11
tw0	NNI2	0.4	0.8790560807180814	0.8299064781315083	15760.598687090911	11
tw0	NNI2	0.5	0.6125955222409505	0.5670356722695983	46051.44615172727	11
tw0	TBR	0.0	0.5779465408572069	0.1344841837854154	905.949090909091	11
tw0	TBR	0.02	1.8175578488693993	0.3102469299504422	344.0181818181818	11
tw0	TBR	0.05	3.8488876842738162	0.8840205468508715	199.84909090909093	11
tw0	TBR	0.1	6.9740626135671615	1.9332545958347471	142.86545454545455	11
tw0	TBR	0.2	11.754530360581596	3.3919892544844235	93.82181818181817	11
tw0	TBR	0.3	14.065465954495165	4.002389151742391	73.80545454545455	11
tw0	TBR	0.4	16.010648595741053	4.948979889007858	66.72363636363637	11
tw0	TBR	0.5	11.455146923283186	4.8181577719411415	405.5	11
tw0	rTBR	0.0	0.5653440094126497	0.1176030025626234	879.3036363636364	11
tw0	rTBR	0.02	1.5714337125308757	0.2807173363732465	360.32363636363635	11
tw0	rTBR	0.05	2.6494987911874475	0.514650909091878	233.68727272727273	11
tw0	rTBR	0.1	3.566084657222126	0.7419581925897151	180.83818181818182	11
tw0	rTBR	0.2	4.4681211109906895	0.9680647857730945	136.7290909090909	11
tw0	rTBR	0.3	4.895945926579565	1.069016793739539	123.40181818181819	11
tw0	rTBR	0.4	4.753841088694809	1.0145611220308721	119.08909090909091	11
tw0	rTBR	0.5	4.6786417525738475	1.0082932521273886	114.5490909090909	11
tw2	MC3_NNI	0.0	174.80170809782723	0.0	1879.64	1
tw2	MC3_NNI	0.02	251.25356168004893	0.0	1307.7	1
tw2	MC3_NNI	0.05	620.9636426689598	0.0	529.12	1
tw2	MC3_NNI	0.1	607.3726016877403	0.0	540.96	1
tw2	MC3_NNI	0.2	582.6227659130403	0.0	563.94	1
tw2	MC3_NNI	0.3	848.2580745830537	0.0	387.34	1
tw2	MC3_NNI	0.4	251.0615745464965	0.0	1308.7	1
tw2	MC3_NNI	0.5	76.53774252219975	0.0	4292.84	1
tw2	NNI	0.0	1.0	0.0	328564.282609	1
tw2	NNI	0.02	1.0215120172228507	0.0	321645.04878	1
tw2	NNI	0.05	1.3439396045334517	0.0	244478.458333	1
tw2	NNI	0.1	1.6115363939222969	0.0	203882.632653	1
tw2	NNI	0.2	1.9262685564735347	0.0	170570.34	1
tw2	NNI	0.3	1.8379861325429392	0.0	178763.2	1
tw2	NNI	0.4	1.3664998743533572	0.0	240442.234043	1
tw2	NNI	0.5	0.839593823090028	0.0	391337.184211	1
tw2	NNI2	0.0	5.504184918652839	0.0	59693.54	1
tw2	NNI2	0.02	7.944825161210916	0.0	41355.76	1
tw2	NNI2	0.05	8.396560118315946	0.0	39130.82	1
tw2	NNI2	0.1	19.84112587434842	0.0	16559.76	1
tw2	NNI2	0.2	43.748489755269425	0.0	7510.3	1
tw2	NNI2	0.3	82.84776206264435	0.0	3965.88	1
tw2	NNI2	0.4	49.76904450148293	0.0	6601.78	1
tw2	NNI2	0.5	47.09788747584645	0.0	6976.2	1
tw2	TBR	0.0	92.71524426011625	0.0	3543.8	1
tw2	TBR	0.02	145.25902004005445	0.0	2261.92	1
